epoch,relu,elu,leaky
0,0.819875061511993,0.837963700294495,0.819742321968079
1,0.890387535095215,0.898381650447845,0.881102502346039
2,0.91446316242218,0.919786036014557,0.919624805450439
3,0.919806659221649,0.930006206035614,0.926047563552856
4,0.927791059017181,0.93614912033081,0.937518119812012
5,0.936494886875153,0.942168891429901,0.939980864524841
6,0.935765445232391,0.943859159946442,0.945091843605042
7,0.937993764877319,0.946158647537231,0.947031676769257
8,0.931471347808838,0.946085155010223,0.948046207427978
9,0.950460076332092,0.946775913238525,0.947154760360718
10,0.942053198814392,0.950021982192993,0.946671307086945
11,0.946273386478424,0.951467216014862,0.94038999080658
12,0.947406589984894,0.95292991399765,0.952394783496857
13,0.951572060585022,0.949257910251617,0.949548602104187
14,0.952084064483643,0.950908184051514,0.951407313346863
15,0.951887547969818,0.950704574584961,0.952598094940186
16,0.95414799451828,0.952050983905792,0.949447393417358
17,0.95026284456253,0.947745501995087,0.944939613342285
18,0.954197704792023,0.952899217605591,0.948210060596466
19,0.952954113483429,0.953991174697876,0.95383870601654
20,0.954239547252655,0.953191459178925,0.950002014636993
21,0.955217182636261,0.954751312732696,0.952596604824066
22,0.954447090625763,0.95222282409668,0.948778748512268
23,0.951852738857269,0.953615427017212,0.952986717224121
24,0.952593922615051,0.95412278175354,0.953533828258514
25,0.955242395401001,0.953069567680359,0.949032485485077
26,0.955453753471374,0.951218485832214,0.948512256145477
27,0.956039369106293,0.953557848930359,0.95324444770813
28,0.954277217388153,0.954817056655884,0.954380095005035
29,0.952175617218018,0.951852321624756,0.953353822231293
30,0.953445255756378,0.952597856521606,0.953144669532776
31,0.954748451709747,0.95564877986908,0.954324007034302
32,0.956105709075928,0.951819241046906,0.953537583351135
33,0.953467905521393,0.9522265791893,0.953825533390045
34,0.933181643486023,0.951647222042084,0.953097701072693
35,0.956207752227783,0.955974459648132,0.947599589824676
36,0.953870296478272,0.953597009181976,0.954157292842865
37,0.955987930297852,0.954614877700806,0.948055565357208
38,0.955493092536926,0.95289945602417,0.953515708446503
39,0.954269528388977,0.952989339828491,0.952312231063843
40,0.955769717693329,0.956729769706726,0.955206096172333
41,0.956865966320038,0.954969227313995,0.947323620319366
42,0.954522490501404,0.957239925861358,0.953243732452393
43,0.955738663673401,0.953715145587921,0.952113032341003
44,0.956721067428589,0.957332849502564,0.9437495470047
45,0.954684257507324,0.951827824115753,0.953016340732574
46,0.955207943916321,0.947061538696289,0.9542276263237
47,0.957194149494171,0.954851448535919,0.954203605651856
48,0.953405618667602,0.954018652439117,0.954966604709625
49,0.955159425735474,0.954580068588257,0.949091911315918
