epoch,noise_loss,seg_loss,val_f1_score,val_loss
0,0.04066287353634834,0.0,0.8292606472969055,0.007117841392755508
1,0.03217422962188721,0.0,0.8914062976837158,0.004979484714567661
2,0.03056504763662815,0.0,0.9020397067070007,0.004494571126997471
3,0.02908364310860634,0.0,0.9158222079277039,0.004124916158616543
4,0.026290837675333023,0.0,0.914456844329834,0.004639072809368372
5,0.02404697984457016,0.0,0.9132660627365112,0.004445868544280529
6,0.023616597056388855,0.0,0.9252455234527588,0.0035590596962720156
7,0.022994890809059143,0.0,0.9295161962509155,0.003370675491169095
8,0.02157961204648018,0.0,0.9301140904426575,0.0032643850427120924
9,0.021297577768564224,0.0,0.9223319888114929,0.0036046721506863832
10,0.021516159176826477,0.0,0.917692244052887,0.003813833696767688
11,0.01953887939453125,0.0,0.9385496377944946,0.003053392516449094
12,0.019685719162225723,0.0,0.9358406662940979,0.0030723900999873877
13,0.018650595098733902,0.0,0.9381617903709412,0.003273187205195427
14,0.01895025372505188,0.0,0.933173418045044,0.003164619905874133
15,0.019032776355743408,0.0,0.9383678436279297,0.0031905751675367355
16,0.017958346754312515,0.0,0.9440393447875977,0.002845906186848879
17,0.01796461082994938,0.0,0.9403296113014221,0.0030954352114349604
18,0.018473517149686813,0.0,0.938849151134491,0.0029489232692867517
19,0.01678263023495674,0.0,0.9411930441856384,0.003148481249809265
20,0.01764608547091484,0.0,0.9375031590461731,0.003411464858800173
21,0.017274778336286545,0.0,0.9396886825561523,0.0031425717752426863
22,0.016980739310383797,0.0,0.9374479055404663,0.003326279344037175
23,0.018770791590213776,0.0,0.9123282432556152,0.004152628593146801
24,0.015917185693979263,0.0,0.9380804300308228,0.0035198661498725414
25,0.016660302877426147,0.0,0.9365845918655396,0.0035652846563607454
