epoch,noise_loss,seg_loss,val_f1_score,val_loss
0,0.023562589660286903,0.0,0.9275104403495789,0.0034540710039436817
1,0.021414512768387794,0.0,0.9397504329681396,0.002964440267533064
2,0.02127639204263687,0.0,0.9492993950843811,0.0024907297920435667
3,0.019765883684158325,0.0,0.9512801170349121,0.002441288437694311
4,0.01668814942240715,0.0,0.9550223350524902,0.0022799076978117228
5,0.016920670866966248,0.0,0.9522713422775269,0.002324386965483427
6,0.015560256317257881,0.0,0.953467607498169,0.002381853526458144
7,0.01541226264089346,0.0,0.9568977952003479,0.00230285432189703
8,0.015683408826589584,0.0,0.9550840854644775,0.0025382484309375286
9,0.015171119011938572,0.0,0.9568873047828674,0.0022485898807644844
10,0.01530678104609251,0.0,0.9541696906089783,0.002503738272935152
11,0.015052291564643383,0.0,0.9514340758323669,0.002569992560893297
12,0.015042874030768871,0.0,0.9576292037963867,0.0023462907411158085
13,0.014242392033338547,0.0,0.9506512880325317,0.0025564762763679028
14,0.014167068526148796,0.0,0.9573619365692139,0.0024075410328805447
15,0.013680631294846535,0.0,0.9545654654502869,0.002727298531681299
16,0.0132302800193429,0.0,0.9579368829727173,0.002467107493430376
17,0.014084508642554283,0.0,0.9584272503852844,0.0023054678458720446
18,0.014207000844180584,0.0,0.9563472867012024,0.002430745866149664
19,0.013885829597711563,0.0,0.9586799144744873,0.00240832450799644
20,0.014485662803053856,0.0,0.956324577331543,0.002536485902965069
21,0.012623082846403122,0.0,0.9570102095603943,0.0025467881932854652
22,0.01356047485023737,0.0,0.9579921960830688,0.002386639127507806
23,0.012959213927388191,0.0,0.9564393162727356,0.002419218188151717
24,0.013271545991301537,0.0,0.9591278433799744,0.002527074422687292
25,0.012730247341096401,0.0,0.9568489193916321,0.0025564171373844147
26,0.012837756425142288,0.0,0.9562129974365234,0.0028337796684354544
