epoch,noise_loss,seg_loss,val_f1_score,val_loss
0,0.06069502606987953,0.0,0.818882167339325,0.007376955356448889
1,0.05075925588607788,0.0,0.850996732711792,0.006206410005688667
2,0.045553483068943024,0.0,0.8633634448051453,0.005684759467840195
3,0.04285179078578949,0.0,0.875789999961853,0.005301624536514282
4,0.04043798893690109,0.0,0.8902071714401245,0.004863051697611809
5,0.03879975527524948,0.0,0.8959195613861084,0.004776187241077423
6,0.03800659626722336,0.0,0.9033610820770264,0.004424708895385265
7,0.03939290717244148,0.0,0.9115706086158752,0.004026702605187893
8,0.0390523299574852,0.0,0.9130098819732666,0.004003433044999838
9,0.0387449637055397,0.0,0.9155746102333069,0.0038833520375192165
10,0.038279734551906586,0.0,0.920121967792511,0.003704901784658432
11,0.037604913115501404,0.0,0.9198840260505676,0.0036816783249378204
12,0.03758823871612549,0.0,0.9190176129341125,0.003766771871596575
13,0.037105776369571686,0.0,0.9211200475692749,0.0036726712714880705
14,0.03747375309467316,0.0,0.9188277125358582,0.003851241897791624
15,0.037444427609443665,0.0,0.919212818145752,0.0038346457295119762
16,0.03707621991634369,0.0,0.9242950081825256,0.003581882221624255
17,0.03668487071990967,0.0,0.9211512804031372,0.0037316069938242435
18,0.03670646995306015,0.0,0.9248651266098022,0.003663325682282448
19,0.03754096478223801,0.0,0.924107551574707,0.003569216001778841
20,0.03605416789650917,0.0,0.924960196018219,0.0036059790290892124
21,0.035868287086486816,0.0,0.9232721924781799,0.0037559778429567814
22,0.03598906844854355,0.0,0.9265095591545105,0.0035727214999496937
23,0.03639334440231323,0.0,0.9281807541847229,0.003484309883788228
24,0.03660675883293152,0.0,0.9315135478973389,0.0033147879876196384
25,0.0366937555372715,0.0,0.9303749203681946,0.00341506814584136
26,0.03653424233198166,0.0,0.9319409132003784,0.003283984959125519
27,0.03638596087694168,0.0,0.9315128326416016,0.0033267573453485966
28,0.03579121083021164,0.0,0.93122398853302,0.003332496853545308
29,0.03618953749537468,0.0,0.932523250579834,0.0032631673384457827
30,0.03560087829828262,0.0,0.9327651858329773,0.0032618436962366104
31,0.03656142204999924,0.0,0.933315098285675,0.0032133846543729305
32,0.036451082676649094,0.0,0.9311480522155762,0.0033368326257914305
33,0.0365305170416832,0.0,0.9322822093963623,0.0032627047039568424
34,0.03654738515615463,0.0,0.9339383840560913,0.003196213860064745
35,0.03643444925546646,0.0,0.9336475133895874,0.0031841725576668978
36,0.03643571585416794,0.0,0.9300238490104675,0.0034345421008765697
37,0.03631582111120224,0.0,0.9333801865577698,0.0032060910016298294
38,0.03589775413274765,0.0,0.931545615196228,0.0032688123174011707
39,0.036316949874162674,0.0,0.9327658414840698,0.003259842749685049
40,0.03659133240580559,0.0,0.9350079298019409,0.003163567278534174
41,0.036195434629917145,0.0,0.9324663877487183,0.0032695773988962173
42,0.03663685545325279,0.0,0.9334393739700317,0.0032620057463645935
43,0.035149119794368744,0.0,0.9335346817970276,0.0032379247713834047
44,0.03640970587730408,0.0,0.933585524559021,0.0032604685984551907
45,0.0359240360558033,0.0,0.9322661757469177,0.0033351753372699022
46,0.03510076925158501,0.0,0.9337108135223389,0.003208904294297099
47,0.035299018025398254,0.0,0.9306075572967529,0.0034948140382766724
48,0.03634245693683624,0.0,0.933608889579773,0.003188698086887598
49,0.035261016339063644,0.0,0.932040810585022,0.0033346321433782578
50,0.03545364364981651,0.0,0.9328603744506836,0.0033407905139029026
