epoch,seg_loss,val_f1_score,val_loss
0,0.02853679656982422,0.5653791427612305,0.02469281479716301
1,0.01555679738521576,0.6543341279029846,0.018755963072180748
2,0.01231171004474163,0.7104614973068237,0.014760154299438
3,0.011061841621994972,0.7386650443077087,0.013324089348316193
4,0.009602542035281658,0.76101154088974,0.012065601535141468
5,0.006457998417317867,0.7846750617027283,0.011000709608197212
6,0.009442467242479324,0.7908490896224976,0.010712441056966782
7,0.005324006080627441,0.8016939163208008,0.010017601773142815
8,0.005874502472579479,0.804466962814331,0.010139130055904388
9,0.005082377232611179,0.8281099200248718,0.009261948056519032
10,0.005326923448592424,0.8151267766952515,0.009479985572397709
11,0.004729751963168383,0.8335315585136414,0.008913625963032246
12,0.004433824680745602,0.8337192535400391,0.008923578076064587
13,0.004001285415142775,0.8309125900268555,0.009162019938230515
14,0.0033957441337406635,0.8337052464485168,0.009077000431716442
15,0.00299398647621274,0.8479207754135132,0.008440716192126274
16,0.00280440179631114,0.8602533340454102,0.008019941858947277
17,0.0026264293119311333,0.8656255602836609,0.007955280132591724
18,0.0024667447432875633,0.8691334128379822,0.007956454530358315
19,0.002522299764677882,0.8686484098434448,0.008100282400846481
20,0.0027603725902736187,0.8518658876419067,0.00891906674951315
21,0.0023586885072290897,0.8536021709442139,0.008707552216947079
22,0.0024827313609421253,0.8614885210990906,0.008838793262839317
23,0.002530854195356369,0.8707153797149658,0.008165164850652218
24,0.0018348518060520291,0.8699281811714172,0.00882948562502861
25,0.001825513900257647,0.8677025437355042,0.009128812700510025
26,0.0015968122752383351,0.876235842704773,0.008167916908860207
27,0.0016850123647600412,0.8774491548538208,0.007894718088209629
28,0.002009112387895584,0.8756927251815796,0.009099731221795082
29,0.0015811501070857048,0.8785562515258789,0.008421994745731354
30,0.0014360339846462011,0.8754431009292603,0.00908339861780405
31,0.0014950553886592388,0.8814036250114441,0.008837470784783363
32,0.0013078502379357815,0.87981116771698,0.009528083726763725
33,0.001254785805940628,0.8790024518966675,0.010026730597019196
34,0.001174410106614232,0.8664628863334656,0.011460771784186363
35,0.0011240207822993398,0.8694354891777039,0.011904595419764519
36,0.0010325737530365586,0.8714408278465271,0.01095234788954258
37,0.001195031451061368,0.8866365551948547,0.009298737160861492
38,0.0011221468448638916,0.8866051435470581,0.009118257090449333
39,0.0010479158954694867,0.884475588798523,0.010009370744228363
40,0.001143883215263486,0.8747178316116333,0.011486263945698738
41,0.0009288635337725282,0.8743186593055725,0.011828770861029625
42,0.0008709834655746818,0.8815484642982483,0.011217194609344006
43,0.000874154269695282,0.881966769695282,0.01083857100456953
44,0.0009168896940536797,0.8768547177314758,0.01162777654826641
45,0.0008740358171053231,0.8610734343528748,0.01349947415292263
46,0.001061202958226204,0.8682065606117249,0.012648841366171837
