epoch,noise_loss,seg_loss,val_f1_score,val_loss
0,0.09080957621335983,0.05017029494047165,0.7246502637863159,0.03302181139588356
1,0.08308316767215729,0.046922195702791214,0.7150264382362366,0.0316343680024147
2,0.079701267182827,0.04441849887371063,0.6810522675514221,0.04176478087902069
3,0.09295687824487686,0.04494411125779152,0.7568991184234619,0.03342263028025627
4,0.07808045297861099,0.042102038860321045,0.7331480383872986,0.03349138796329498
5,0.07470974326133728,0.04032962769269943,0.7902202010154724,0.02804713509976864
6,0.07224372774362564,0.04010295867919922,0.8039003014564514,0.023978780955076218
7,0.0698673203587532,0.03918825834989548,0.8207517862319946,0.022963345050811768
8,0.06796251982450485,0.03955622389912605,0.8471184968948364,0.02142009511590004
9,0.0672263577580452,0.03898646682500839,0.8993507027626038,0.017996173352003098
10,0.0657167136669159,0.03929482772946358,0.8747550249099731,0.020964037626981735
11,0.0649300143122673,0.0372348353266716,0.8881447315216064,0.019842835143208504
12,0.06374901533126831,0.03712565079331398,0.8767237067222595,0.01955120451748371
13,0.06326866894960403,0.03755759447813034,0.8524178266525269,0.02143198810517788
14,0.06214148923754692,0.03719624876976013,0.8371537923812866,0.022242704406380653
15,0.06171390414237976,0.03670927882194519,0.8371538519859314,0.02168191969394684
16,0.06198350712656975,0.03689376264810562,0.8744015693664551,0.01898568496108055
17,0.060671478509902954,0.036110613495111465,0.8372584581375122,0.020808828994631767
18,0.06058913841843605,0.0356769859790802,0.8803391456604004,0.019479762762784958
19,0.05978227034211159,0.0360138900578022,0.9481686353683472,0.01648617349565029
