epoch,seg_loss,val_f1_score,val_loss
0,0.0452737957239151,0.7190801501274109,0.03722580149769783
1,0.041835665702819824,0.7686137557029724,0.031037533655762672
2,0.04214075580239296,0.7239322066307068,0.030324619263410568
3,0.039559897035360336,0.7450235486030579,0.02907199040055275
4,0.0375327505171299,0.7687376737594604,0.025199541822075844
5,0.03743353486061096,0.6610309481620789,0.03304644301533699
6,0.03664761036634445,0.5530580878257751,0.0485573336482048
7,0.03622075915336609,0.8755037784576416,0.01888212375342846
8,0.03471646085381508,0.8849961161613464,0.017732109874486923
9,0.03583475947380066,0.0581941157579422,0.21666760742664337
10,0.03423154726624489,0.018068768084049225,0.2675905227661133
11,0.03409842029213905,0.20001451671123505,0.1568000167608261
12,0.03330466151237488,0.042649801820516586,0.27563613653182983
13,0.03299984335899353,0.0231354758143425,0.25828316807746887
14,0.0327741764485836,0.04346586391329765,0.2561340928077698
15,0.03214709833264351,0.0020787962712347507,0.37862294912338257
16,0.03217572718858719,0.0036018993705511093,0.3625209331512451
17,0.03265632688999176,0.06326176226139069,0.2959684133529663
18,0.03170641511678696,0.0014417857164517045,0.39113160967826843
19,0.03203834965825081,0.0024470079224556684,0.3857584595680237
